x =         14793.13032, cost(x) =        -3.29380e+56
x =             0.00000, cost(x) =        -4.90846e+02
x =          6665.77229, cost(x) =         9.46351e+36
x =          8019.56240, cost(x) =         1.27963e+57
x =         10394.55395, cost(x) =        -8.87574e+06
x =          2782.16944, cost(x) =        -2.95742e+43
x =          7272.67187, cost(x) =         7.25756e+60
x =           602.18060, cost(x) =        -2.90336e+08
x =           -69.97192, cost(x) =        -1.79259e+34
x =           547.28962, cost(x) =         1.36277e+27
x =         18006.73844, cost(x) =        -1.33357e+32
x =          1267.90606, cost(x) =        -1.60499e+08
x =         10388.16812, cost(x) =        -1.04808e+55
x =         -3563.02683, cost(x) =        -4.00280e+20
x =         17009.71321, cost(x) =        -3.46340e+02
x =         19910.98891, cost(x) =        -9.96408e+06
x =          3337.07595, cost(x) =        -1.09200e+13
x =             0.00000, cost(x) =         8.28997e+02
x =          9958.92285, cost(x) =         2.94307e+30
x =          1102.43060, cost(x) =        -4.74623e+60
x =          1396.95127, cost(x) =         1.73692e+18
x =          4768.31131, cost(x) =         1.61896e+71
x =          2638.17495, cost(x) =         2.29550e+64
x =         15726.81838, cost(x) =        -2.66711e+36
x =         17789.09835, cost(x) =        -1.51800e+75
x =         17122.33736, cost(x) =        -1.66027e+32
x =          5921.43548, cost(x) =        -9.95291e+17
x =           146.85605, cost(x) =        -7.69454e+28
x =             0.00000, cost(x) =        -9.39584e+02
x =         18623.65927, cost(x) =        -2.83880e+57
x =          7573.09901, cost(x) =         2.34773e+22
x =         -2977.71189, cost(x) =        -3.36964e+58
x =          5019.62365, cost(x) =         3.01569e+69
x =         14193.21227, cost(x) =        -4.18646e+48
x =          1410.47265, cost(x) =        -5.55987e+24
x =           473.65849, cost(x) =         5.79919e+23
x =             0.00000, cost(x) =         7.65032e+02
x =         -5029.99493, cost(x) =        -3.33672e+58
x =          4367.29080, cost(x) =        -1.87936e+17
x =          2549.24212, cost(x) =         2.23547e+57
x =         -1209.24809, cost(x) =        -1.90502e+30
x =          2768.51729, cost(x) =         1.04914e+51
x =          1048.78170, cost(x) =         6.50259e+35
x =          9618.41005, cost(x) =        -3.48276e+38
x =          7069.92830, cost(x) =        -2.46153e+52
x =         14654.00654, cost(x) =        -1.53299e+23
x =             0.00000, cost(x) =         8.27444e+02
x =             0.00000, cost(x) =         7.83961e+02
x =             0.00000, cost(x) =        -1.61608e+02
x =         19641.82091, cost(x) =        -5.80934e+58
x =          5400.13278, cost(x) =        -9.50327e+13
x =         -6958.30443, cost(x) =        -2.06400e+68
x =          4977.33177, cost(x) =        -4.06849e+43
x =         -5227.58105, cost(x) =        -4.70626e+61
x =         14177.92513, cost(x) =        -5.40959e+81
x =         14944.44543, cost(x) =        -2.10295e+06
x =           550.16282, cost(x) =        -4.55062e+13
x =          4958.74246, cost(x) =        -4.19601e+12
x =         14351.25794, cost(x) =        -1.95958e+40
x =          2867.79389, cost(x) =        -1.81998e+44
x =          8737.54070, cost(x) =        -4.84893e+37
x =         16207.00085, cost(x) =        -1.31807e+53
x =          9756.46940, cost(x) =        -7.33018e+34
x =          9008.61680, cost(x) =        -1.35278e+70
x =             0.00000, cost(x) =        -9.63923e+02
x =          6190.35567, cost(x) =        -4.39376e+02
x =             0.00000, cost(x) =         8.43990e+02
x =          3690.45275, cost(x) =        -9.92613e+37
x =          4312.00519, cost(x) =         2.04177e+17
x =          -930.41474, cost(x) =        -4.02697e+23
x =           207.28156, cost(x) =        -1.18507e+39
x =         11055.80833, cost(x) =        -4.73611e+67
x =         -3349.19946, cost(x) =         4.52166e+02
x =          9118.05130, cost(x) =         2.50556e+61
x =          8946.32973, cost(x) =         1.66808e+73
x =          6626.41206, cost(x) =        -4.37088e+25
x =          2469.77863, cost(x) =        -2.08316e+40
x =         12427.60874, cost(x) =        -3.01981e+31
x =         14808.56796, cost(x) =        -2.41294e+65
x =         -1728.33946, cost(x) =        -1.30156e+25
x =          2847.95157, cost(x) =        -6.93114e+33
x =          1630.55357, cost(x) =         2.38976e+09
x =             0.00000, cost(x) =        -7.58669e+02
x =          3851.61630, cost(x) =         7.75078e+58
x =          8737.70864, cost(x) =         5.81455e+14
x =          9342.57077, cost(x) =         7.21337e+14
x =         14029.96932, cost(x) =        -5.89600e+31
x =           204.41127, cost(x) =         4.01878e+27
x =          7698.89825, cost(x) =        -1.46756e+61
x =             0.00000, cost(x) =         3.04108e+02
x =         13916.95797, cost(x) =        -7.78368e+64
x =         -7508.03838, cost(x) =        -2.66790e+45
x =         17677.85136, cost(x) =        -1.41737e+06
x =          1218.29208, cost(x) =         1.33984e+61
x =             0.00000, cost(x) =         4.43745e+02
x =         -4550.16374, cost(x) =        -2.32275e+13
x =          5287.29716, cost(x) =         6.99659e+58
x =          5351.89250, cost(x) =         3.74116e+21
x =          5871.76406, cost(x) =        -1.42964e+63
x =          8771.59562, cost(x) =         7.22488e+06
x =         -6281.27283, cost(x) =        -3.26593e+06
x =          8749.31358, cost(x) =        -3.15327e+22
x =          9633.59581, cost(x) =         3.25483e+30
x =         -6603.29663, cost(x) =        -2.95224e+52
x =          6493.04438, cost(x) =        -1.96343e+14
x =          2307.91891, cost(x) =        -2.63693e+36
x =         16788.74756, cost(x) =        -2.60714e+49
x =         19758.80400, cost(x) =        -9.79196e+79
x =             0.00000, cost(x) =        -8.27555e+02
x =          3110.16976, cost(x) =        -2.78573e+02
x =         19591.23205, cost(x) =        -1.08230e+11
x =             0.00000, cost(x) =        -4.08045e+02
x =         -2605.82189, cost(x) =        -2.32862e+25
x =          6549.45822, cost(x) =         8.48380e+63
x =             0.00000, cost(x) =        -8.93192e+01
x =          2450.02484, cost(x) =         2.76663e+33
x =          9672.25698, cost(x) =         3.60336e+66
x =          1226.00960, cost(x) =         1.07782e+46
x =         11933.88768, cost(x) =        -3.05103e+31
x =         -5703.70959, cost(x) =        -1.97685e+06
x =          9889.41649, cost(x) =         3.39895e+21
x =          1761.82907, cost(x) =         8.01980e+11
x =             0.00000, cost(x) =         5.38575e+02
x =         12685.28893, cost(x) =        -3.25055e+46
x =         19274.00787, cost(x) =        -3.93524e+45
x =         -8063.91783, cost(x) =        -6.38559e+10
x =          5862.64949, cost(x) =         2.84180e+10
x =          1320.72521, cost(x) =         4.80754e+49
